,X,Y,frame,track_ID,pred_0,pred_1,LocErrs0,LocErrs1
2082,0.3797434260484907,0.49850153453230617,2,349,0.9607711427190581,0.03922885728094324,0.021929718409298794,0.017466702890674143
2083,0.406352701964917,0.4718173297138609,3,349,0.7303535304028044,0.2696464695971947,0.01830660480432211,0.02351220731931395
2084,0.2751377177842501,0.49028472791489125,4,349,0.006533214305631811,0.9934667856943687,0.018026291319500214,0.01802575555381987
2085,0.20249445162095736,0.5526343763510233,5,349,0.1013065838377157,0.8986934161622836,0.0194361326810125,0.01857946467239086
2086,0.27833387441331736,0.5496743987266602,6,349,0.5268437258050064,0.4731562741949935,0.021292789329669687,0.02229791213325819
2087,0.29012957500136777,0.5317179966628609,7,349,0.5613923886415396,0.43860761135846044,0.0241706229368654,0.020285604305387908
2088,0.515417069278978,0.06835172156565777,0,350,0.4020549255520654,0.5979450744479347,0.020344256933532003,0.020244696753211184
2089,0.4970627034420064,0.10590607882647102,1,350,0.3112355840330674,0.6887644159669327,0.020631842118320056,0.020677281964230233
2090,0.39879961894560695,0.1221717877676248,2,350,0.02275477100324699,0.9772452289967533,0.020368929024239306,0.020756082163704337
2091,0.44199729434371177,0.06595456527448249,3,350,0.019778408095523226,0.9802215919044766,0.020501200104263262,0.018766025602178497
2092,0.3258675616789732,-0.021829261711700035,4,350,0.0228227295717996,0.9771772704282006,0.023965445391723773,0.019816935834462583
2093,0.2784523423735644,-0.042062608266086106,5,350,0.02598163803013487,0.9740183619698651,0.01892642661352662,0.018204154146221074
2094,0.33482541130722115,-0.15907178620653814,6,350,0.0033894620194234552,0.9966105379805767,0.01944034406052044,0.02380180927283406
2095,0.37478166309616806,-0.3557443945007102,7,350,0.02716051647505701,0.9728394835249431,0.019729035234614653,0.024233935178223674
2096,0.9023841207843365,0.41206613673086434,0,351,0.900168723600841,0.09983127639915954,0.017073366324284935,0.01993015671509884
2097,0.9182766116621626,0.42988764725565215,1,351,0.9267904286557473,0.07320957134425185,0.02135049725782016,0.019826963816439717
2098,0.9224262469218063,0.35054350513527455,2,351,0.9548293724721223,0.04517062752787817,0.0182104324655919,0.01964871601545464
2099,0.9333997900925177,0.36059753080224266,3,351,0.9697362934103556,0.030263706589643776,0.018268082999808772,0.019310924791412158
2100,0.9356736027509391,0.37633831746037977,4,351,0.9538018248802703,0.046198175119729755,0.016708963321092788,0.025325091161941655
2101,0.9469279466133486,0.438724843349298,5,351,0.7139346801207224,0.2860653198792776,0.01790796557177455,0.017834877419933816
2102,0.950502403053228,0.38439303925646606,6,351,0.5828657813128266,0.41713421868717354,0.020415799475695977,0.01977089981199684
2103,0.8208105956691265,0.2808913868741422,7,351,0.018013418584414815,0.9819865814155849,0.01668260767865293,0.022572131869716124
2104,0.05338395165345762,0.6985329179258969,0,352,0.2461726917213747,0.7538273082786253,0.018005396858768227,0.01842736968508913
2105,0.04041338073922825,0.7482469878694652,1,352,0.11754284173746292,0.882457158262537,0.019006850661600665,0.01761167701537196
